task_id,country_code,platform_code,wave,collection_mode,status,error_type,owner,started_at,finished_at,next_action
CA_Amazon.ca_ACTUAL_WAVE_CA_BATCH01;batch01,CA,amazon_ca,ACTUAL_WAVE_CA_BATCH01;batch01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
CA_Mamanpourlavie_ACTUAL_WAVE_CA_BATCH01;batch01,CA,mamanpourlavie,ACTUAL_WAVE_CA_BATCH01;batch01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
CA_amazon_ACTUAL_WAVE_CA_BATCH01;batch01,CA,amazon,ACTUAL_WAVE_CA_BATCH01;batch01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
SE_Familjeliv.se_ACTUAL_WAVE_SE_BATCH01,SE,familjeliv_se,ACTUAL_WAVE_SE_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
SE_YouTube_ACTUAL_WAVE_SE_BATCH01,SE,youtube,ACTUAL_WAVE_SE_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
GB_Amazon.co.uk_ACTUAL_WAVE_UK_BATCH01,GB,amazon_co_uk,ACTUAL_WAVE_UK_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
GB_Mumsnet_ACTUAL_WAVE_UK_BATCH01,GB,mumsnet,ACTUAL_WAVE_UK_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
AU_Amazon.com.au_ACTUAL_WAVE_AU_BATCH01;batch01,AU,amazon_com_au,ACTUAL_WAVE_AU_BATCH01;batch01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
AU_ProductReview.com.au_ACTUAL_WAVE_AU_BATCH01;batch01,AU,productreview_com_au,ACTUAL_WAVE_AU_BATCH01;batch01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
AU_amazon_ACTUAL_WAVE_AU_BATCH01;batch01,AU,amazon,ACTUAL_WAVE_AU_BATCH01;batch01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
FR_Amazon.fr_ACTUAL_WAVE_FR_BATCH01,FR,amazon_fr,ACTUAL_WAVE_FR_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
FR_Doctissimo_Forum_/_Magicmaman_Forum_ACTUAL_WAVE_FR_BATCH01,FR,doctissimo_forum_/_magicmaman_forum,ACTUAL_WAVE_FR_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
GB_Netmums_ACTUAL_WAVE_UK_BATCH01,GB,netmums,ACTUAL_WAVE_UK_BATCH01,batch,done,,system,2025-04-26,2026-04-01T17:58:52,keep_template_synced
DE_Amazon.de_ACTUAL_WAVE1_BATCH01,DE,amazon_de,ACTUAL_WAVE1_BATCH01,batch,done,,system,,2026-04-01T17:58:52,keep_template_synced
ID_Tokopedia_ACTUAL_WAVE_ID_BATCH01,ID,tokopedia,ACTUAL_WAVE_ID_BATCH01,batch,done,,system,Lebih dari 1 tahun lalu,2026-04-01T17:58:52,keep_template_synced
